Player Name,Match Date,Twitter Usage 36h,1st Serve Fault 
Karlovic I.,4/28/16 15:35,8,0.365853659
Karlovic I.,4/29/16 17:00,1,0.203883495
Karlovic I.,4/30/16 14:35,1,0.260273973
Karlovic I.,5/3/16 13:10,0,0.341666667
Karlovic I.,5/9/16 16:20,0,0.313131313
Karlovic I.,5/23/16 14:25,0,0.35483871
Karlovic I.,5/25/16 10:05,0,0.331797235
Karlovic I.,5/27/16 12:10,0,0.359550562
Karlovic I.,6/9/16 12:40,0,0.296296296
Karlovic I.,6/10/16 10:05,0,0.333333333
Karlovic I.,6/11/16 12:35,0,0.347222222
Karlovic I.,6/14/16 14:25,0,0.323529412
Karlovic I.,6/16/16 11:05,0,0.305785124
Karlovic I.,6/27/16 11:35,0,0.356435644
Karlovic I.,6/30/16 12:05,0,0.265486726
Karlovic I.,7/13/16 16:05,0,0.423913043
Karlovic I.,7/15/16 16:05,0,0.283018868
Karlovic I.,7/16/16 21:05,0,0.407894737
Karlovic I.,7/21/16 0:00,0,0.350877193
Karlovic I.,7/21/16 21:05,0,0.338983051
Karlovic I.,7/22/16 18:05,0,0.397727273
Karlovic I.,7/23/16 19:05,1,0.426229508
Karlovic I.,7/24/16 20:05,1,0.39047619
Karlovic I.,7/26/16 22:50,0,0.365384615
Karlovic I.,7/27/16 19:35,0,0.316666667
Karlovic I.,7/28/16 21:00,0,0.384615385
Karlovic I.,8/11/16 2:10,0,0.306666667
Karlovic I.,8/12/16 5:35,0,0.428571429
Karlovic I.,8/13/16 2:05,0,0.466666667
Karlovic I.,8/14/16 4:35,0,0.385714286
Karlovic I.,8/17/16 20:55,0,0.344262295
Karlovic I.,8/30/16 21:00,0,0.321637427
Karlovic I.,9/2/16 2:30,0,0.330578512
Karlovic I.,9/4/16 0:50,0,0.454545455
Karlovic I.,9/5/16 21:10,0,0.319148936
Karlovic I.,10/4/16 6:40,0,0.300813008
Karlovic I.,10/6/16 7:20,0,0.341463415
Karlovic I.,10/7/16 8:30,1,0.324324324
Karlovic I.,10/10/16 11:05,1,0.35483871
Karlovic I.,10/19/16 15:00,1,0.341463415
Karlovic I.,10/21/16 13:50,0,0.404255319
Karlovic I.,10/24/16 13:30,0,0.333333333
Karlovic I.,10/26/16 15:30,0,0.323809524
Karlovic I.,10/28/16 12:05,0,0.383928571
Karlovic I.,10/29/16 13:05,1,0.453703704
Karlovic I.,11/1/16 16:00,0,0.525641026
Karlovic I.,11/2/16 12:05,0,0.383561644
Karlovic I.,1/3/17 14:40,0,0.315068493
Karlovic I.,1/4/17 16:40,0,0.383561644
Karlovic I.,1/5/17 12:45,0,0.373134328
Karlovic I.,1/17/17 5:55,1,0.342723005
Karlovic I.,1/19/17 5:05,0,0.434782609
Karlovic I.,1/21/17 1:55,0,0.256410256
Karlovic I.,2/9/17 23:35,0,0.268518519
Karlovic I.,2/16/17 23:20,0,0.413793103
Karlovic I.,2/21/17 19:35,1,0.410958904
Karlovic I.,3/11/17 19:05,0,0.462962963
Karlovic I.,3/25/17 21:20,0,0.347826087
Karlovic I.,3/27/17 21:10,0,0.372881356
Karlovic I.,4/26/17 13:15,0,0.314285714
Karlovic I.,4/28/17 11:05,2,0.305084746
Karlovic I.,5/9/17 11:05,0,0.312056738
Karlovic I.,5/10/17 19:15,0,0.2
Karlovic I.,5/28/17 13:40,0,0.322580645
Karlovic I.,5/31/17 12:00,0,0.37254902
Karlovic I.,6/15/17 10:05,0,0.311111111
Karlovic I.,6/16/17 12:15,0,0.346938776
Karlovic I.,6/17/17 16:20,0,0.263157895
Karlovic I.,6/18/17 13:35,0,0.346153846
Karlovic I.,6/20/17 17:05,0,0.242424242
Karlovic I.,7/3/17 16:10,0,0.360406091
Karlovic I.,7/19/17 16:05,0,0.55
Karlovic I.,7/20/17 20:40,0,0.420168067
Karlovic I.,8/2/17 1:05,1,0.390243902
Karlovic I.,8/14/17 16:05,2,0.323943662
Karlovic I.,8/16/17 0:10,1,0.371794872
Karlovic I.,8/18/17 18:00,0,0.413043478
Karlovic I.,8/30/17 16:05,0,0.358778626
Karlovic I.,10/3/17 7:35,0,0.346153846
Karlovic I.,10/9/17 6:05,0,0.297297297
Karlovic I.,10/16/17 14:05,0,0.368421053
Karlovic I.,10/19/17 11:05,0,0.305084746
Karlovic I.,1/15/18 5:15,0,0.372881356
Karlovic I.,1/17/18 2:25,0,0.338164251
Karlovic I.,1/19/18 4:50,0,0.291208791
Karlovic I.,2/7/18 17:05,0,0.428571429
Karlovic I.,2/8/18 19:30,1,0.382352941
Karlovic I.,2/20/18 20:15,0,0.476190476
Karlovic I.,3/8/18 20:50,0,0.32038835
Karlovic I.,3/21/18 22:10,0,0.459459459
Karlovic I.,4/10/18 18:05,0,0.303030303
Karlovic I.,4/11/18 19:55,0,0.303030303
Karlovic I.,4/13/18 20:40,0,0.362318841
Karlovic I.,4/14/18 20:10,0,0.405797101
Karlovic I.,4/23/18 14:45,0,0.35
Karlovic I.,4/24/18 17:25,0,0.333333333
Karlovic I.,5/1/18 12:05,1,0.203125
Karlovic I.,5/21/18 14:30,0,0.343434343
Karlovic I.,5/27/18 13:30,0,0.319148936
Karlovic I.,6/11/18 13:40,0,0.284210526
Karlovic I.,7/2/18 13:55,0,0.309352518
Karlovic I.,7/4/18 14:30,1,0.287037037
Karlovic I.,7/17/18 20:25,0,0.48245614
Karlovic I.,7/18/18 18:50,0,0.429906542
Karlovic I.,7/24/18 19:05,0,0.348214286
Karlovic I.,7/31/18 5:25,1,0.461538462
Isner J.,1/11/12 0:05,0,0.384615385
Isner J.,1/16/12 6:55,1,0.336842105
Isner J.,1/18/12 4:30,1,0.371727749
Isner J.,1/20/12 3:30,0,0.265306122
Isner J.,2/22/12 1:15,4,0.295774648
Isner J.,2/24/12 1:40,2,0.226190476
Isner J.,2/24/12 22:00,0,0.228571429
Isner J.,2/28/12 20:20,8,0.317647059
Isner J.,3/1/12 0:20,1,0.338709677
Isner J.,3/2/12 20:20,8,0.490196078
Isner J.,3/4/12 2:05,3,0.308823529
Isner J.,3/10/12 19:05,2,0.375
Isner J.,3/12/12 18:05,4,0.292307692
Isner J.,3/14/12 19:40,0,0.406779661
Isner J.,3/16/12 2:50,1,0.441860465
Isner J.,3/17/12 18:05,3,0.258928571
Isner J.,3/18/12 20:05,10,0.267605634
Isner J.,3/23/12 20:25,0,0.287356322
Isner J.,3/26/12 3:35,0,0.372881356
Isner J.,4/13/12 23:45,0,0.375
Isner J.,4/14/12 0:05,0,0.282051282
Isner J.,4/14/12 21:45,0,0.271317829
Isner J.,4/15/12 18:05,1,0.32038835
Isner J.,5/9/12 12:05,1,0.379310345
Isner J.,5/14/12 20:05,1,0.325842697
Isner J.,5/16/12 15:30,0,0.415254237
Isner J.,5/23/12 13:35,0,0.25
Isner J.,5/24/12 13:50,1,0.345238095
Isner J.,5/28/12 13:50,0,0.257142857
Isner J.,5/31/12 14:25,0,0.257028112
Isner J.,6/25/12 15:30,0,0.234177215
Isner J.,7/10/12 19:50,0,0.297297297
Isner J.,7/11/12 21:20,0,0.285714286
Isner J.,7/13/12 17:30,1,0.28358209
Isner J.,7/14/12 22:05,1,0.320754717
Isner J.,7/15/12 19:05,1,0.294117647
Isner J.,7/20/12 0:40,1,0.406976744
Isner J.,7/21/12 2:05,1,0.405063291
Isner J.,7/22/12 0:05,0,0.363636364
Isner J.,8/8/12 1:30,1,0.425
Isner J.,8/10/12 22:10,1,0.274725275
Isner J.,8/11/12 2:45,1,0.31884058
Isner J.,8/11/12 20:05,0,0.319444444
Isner J.,8/21/12 21:05,6,0.276595745
Isner J.,8/23/12 0:45,1,0.365384615
Isner J.,8/24/12 0:05,0,0.309090909
Isner J.,8/24/12 20:05,0,0.357894737
Isner J.,8/25/12 17:30,0,0.304347826
Isner J.,8/29/12 18:05,0,0.34057971
Isner J.,8/31/12 21:50,0,0.284482759
Isner J.,9/3/12 3:55,3,0.357664234
Isner J.,10/9/12 7:05,2,0.224137931
Isner J.,10/11/12 9:30,1,0.310679612
Isner J.,10/22/12 12:05,1,0.263157895
Isner J.,10/24/12 17:25,1,0.261682243
Isner J.,10/31/12 16:10,0,0.363636364
Isner J.,1/9/13 3:00,11,0.310344828
Isner J.,2/14/13 3:50,8,0.227848101
Isner J.,2/15/13 22:05,1,0.327868852
Isner J.,2/16/13 20:15,9,0.411764706
Isner J.,2/20/13 1:05,3,0.344827586
Isner J.,2/27/13 1:35,4,0.383928571
Isner J.,3/1/13 1:35,6,0.333333333
Isner J.,3/2/13 1:35,8,0.322033898
Isner J.,3/3/13 1:35,9,0.37
Isner J.,3/9/13 20:40,3,0.40776699
Isner J.,3/23/13 19:45,2,0.294736842
Isner J.,3/25/13 23:30,1,0.353846154
Isner J.,4/10/13 2:10,7,0.3
Isner J.,4/11/13 19:50,6,0.386554622
Isner J.,4/13/13 0:05,2,0.323943662
Isner J.,4/13/13 20:30,0,0.428571429
Isner J.,4/14/13 20:05,8,0.428571429
Isner J.,4/16/13 16:15,2,0.35483871
Isner J.,5/6/13 15:30,4,0.323943662
Isner J.,5/7/13 19:30,5,0.189655172
Isner J.,5/12/13 12:05,2,0.306818182
Isner J.,5/22/13 15:35,4,0.333333333
Isner J.,5/27/13 16:05,1,0.370786517
Isner J.,5/31/13 10:05,0,0.35443038
Isner J.,6/1/13 14:45,5,0.222707424
Isner J.,6/17/13 16:55,4,0.308641975
Isner J.,6/24/13 14:15,2,0.252631579
Isner J.,6/26/13 11:35,5,0.2
Isner J.,7/8/13 18:50,2,0.384615385
Isner J.,7/10/13 21:25,2,0.270833333
Isner J.,7/12/13 18:05,2,0.272727273
Isner J.,7/14/13 15:05,2,0.410526316
Isner J.,7/26/13 0:05,7,0.301886792
Isner J.,7/26/13 21:05,3,0.346666667
Isner J.,7/27/13 21:05,7,0.347368421
Isner J.,7/28/13 20:05,7,0.338235294
Isner J.,7/31/13 21:05,4,0.35483871
Isner J.,8/1/13 23:20,0,0.275862069
Isner J.,8/2/13 21:10,1,0.402439024
Isner J.,8/3/13 20:05,2,0.325581395
Isner J.,8/4/13 20:05,1,0.338461538
Isner J.,8/6/13 19:30,1,0.29245283
Isner J.,8/13/13 18:05,6,0.31372549
Isner J.,8/14/13 18:05,9,0.454545455
Isner J.,8/15/13 18:40,3,0.417910448
Isner J.,8/16/13 18:10,3,0.258064516
Isner J.,8/17/13 18:05,11,0.338582677
Isner J.,8/18/13 18:35,4,0.234567901
Isner J.,8/27/13 19:15,2,0.271428571
Isner J.,8/30/13 1:50,3,0.31496063
Isner J.,8/31/13 20:10,7,0.25862069
Isner J.,10/2/13 7:55,0,0.322222222
Isner J.,10/3/13 8:05,0,0.292682927
Isner J.,10/5/13 8:25,0,0.462686567
Isner J.,10/7/13 8:55,4,0.227272727
Isner J.,10/9/13 7:50,3,0.220588235
Isner J.,10/23/13 11:05,0,0.336734694
Isner J.,10/24/13 12:05,11,0.253968254
Isner J.,10/30/13 10:05,0,0.32183908
Isner J.,10/31/13 12:55,0,0.216216216
Isner J.,1/8/14 0:40,2,0.258823529
Isner J.,1/9/14 3:10,2,0.169642857
Isner J.,1/10/14 3:15,0,0.337209302
Isner J.,1/11/14 1:35,1,0.2625
Isner J.,1/14/14 1:15,10,0.223880597
Isner J.,2/19/14 1:50,0,0.344086022
Isner J.,2/20/14 23:40,1,0.344086022
Isner J.,2/22/14 1:35,0,0.366197183
Isner J.,2/23/14 1:35,1,0.277777778
Isner J.,2/25/14 22:05,3,0.310810811
Isner J.,3/9/14 20:05,0,0.350877193
Isner J.,3/12/14 2:05,3,0.345454545
Isner J.,3/12/14 22:35,3,0.295454545
Isner J.,3/14/14 22:35,3,0.2625
Isner J.,3/15/14 20:30,3,0.315789474
Isner J.,3/22/14 20:40,0,0.295454545
Isner J.,3/24/14 23:35,0,0.295081967
Isner J.,3/25/14 23:25,0,0.356164384
Isner J.,4/10/14 1:35,1,0.413793103
Isner J.,5/5/14 11:55,0,0.212121212
Isner J.,5/7/14 12:55,4,0.296
Isner J.,5/8/14 21:45,4,0.21875
Isner J.,5/11/14 14:00,0,0.3
Isner J.,5/21/14 10:05,1,0.339622642
Isner J.,5/22/14 15:45,0,0.303030303
Isner J.,5/25/14 14:05,0,0.390909091
Isner J.,5/28/14 16:00,0,0.284848485
Isner J.,5/30/14 13:50,3,0.30726257
Isner J.,6/1/14 10:05,0,0.372093023
Isner J.,6/24/14 16:20,1,0.266666667
Isner J.,6/26/14 16:35,4,0.289473684
Isner J.,6/30/14 11:35,2,0.251612903
Isner J.,7/8/14 17:50,0,0.313432836
Isner J.,7/9/14 19:05,0,0.416666667
Isner J.,7/11/14 19:40,0,0.31147541
Isner J.,7/25/14 1:30,0,0.348623853
Isner J.,7/25/14 21:05,0,0.5125
Isner J.,7/26/14 20:05,0,0.46875
Isner J.,7/27/14 21:05,2,0.431034483
Isner J.,7/30/14 23:05,0,0.359223301
Isner J.,8/5/14 1:00,1,0.380434783
Isner J.,8/12/14 1:45,0,0.381818182
Isner J.,8/13/14 18:00,2,0.316666667
Isner J.,8/14/14 17:40,4,0.37
Isner J.,8/20/14 0:05,0,0.3125
Isner J.,8/21/14 0:55,5,0.333333333
Isner J.,8/26/14 18:05,4,0.305882353
Isner J.,8/28/14 17:55,4,0.273809524
Isner J.,8/30/14 20:50,1,0.326241135
Isner J.,9/30/14 7:00,0,0.32
Isner J.,10/1/14 14:35,0,0.339449541
Isner J.,10/3/14 9:35,0,0.381818182
Isner J.,10/6/14 6:05,0,0.329545455
Isner J.,10/8/14 11:35,1,0.202531646
Isner J.,10/9/14 12:10,1,0.350877193
Isner J.,10/21/14 11:05,0,0.338235294
Isner J.,10/29/14 21:00,3,0.258823529
Isner J.,1/20/15 1:55,3,0.32183908
Isner J.,1/22/15 0:05,6,0.31
Isner J.,1/24/15 7:05,6,0.230088496
Isner J.,2/12/15 1:05,3,0.231884058
Isner J.,2/14/15 3:30,1,0.260869565
Isner J.,2/18/15 1:05,3,0.318181818
Isner J.,3/15/15 0:00,3,0.422222222
Isner J.,3/16/15 22:35,1,0.326923077
Isner J.,3/19/15 3:55,0,0.215384615
Isner J.,3/28/15 18:40,1,0.391304348
Isner J.,3/31/15 0:35,3,0.264705882
Isner J.,4/1/15 2:50,0,0.347826087
Isner J.,4/2/15 20:05,1,0.307692308
Isner J.,4/4/15 0:05,2,0.329268293
Isner J.,4/10/15 2:00,0,0.396825397
Isner J.,4/13/15 14:50,1,0.260869565
Isner J.,4/15/15 13:15,2,0.220930233
Isner J.,4/16/15 13:10,1,0.392156863
Isner J.,5/4/15 12:10,0,0.308823529
Isner J.,5/6/15 12:05,2,0.287037037
Isner J.,5/7/15 14:00,1,0.261904762
Isner J.,5/8/15 16:00,2,0.230769231
Isner J.,5/11/15 12:55,2,0.262295082
Isner J.,5/13/15 10:05,0,0.338709677
Isner J.,5/14/15 11:05,3,0.303571429
Isner J.,5/19/15 14:10,0,0.311827957
Isner J.,5/21/15 10:50,0,0.313432836
Isner J.,5/22/15 13:35,0,0.266666667
Isner J.,5/26/15 13:45,5,0.252873563
Isner J.,5/28/15 15:30,0,0.281818182
Isner J.,6/16/15 12:35,2,0.260869565
Isner J.,6/18/15 16:00,0,0.262711864
Isner J.,6/19/15 19:05,1,0.236842105
Isner J.,6/29/15 13:00,12,0.180722892
Isner J.,7/1/15 13:40,2,0.279069767
Isner J.,7/4/15 14:35,0,0.276859504
Isner J.,7/14/15 19:30,1,0.293478261
Isner J.,7/30/15 23:05,6,0.317647059
Isner J.,7/31/15 20:30,3,0.3125
Isner J.,8/1/15 21:05,2,0.311688312
Isner J.,8/2/15 20:05,2,0.282051282
Isner J.,8/5/15 23:35,4,0.298245614
Isner J.,8/7/15 3:50,2,0.396825397
Isner J.,8/8/15 0:05,5,0.342465753
Isner J.,8/9/15 0:05,6,0.326086957
Isner J.,8/9/15 20:05,3,0.270588235
Isner J.,8/11/15 21:30,33,0.289473684
Isner J.,8/13/15 0:00,30,0.28125
Isner J.,8/13/15 21:45,4,0.196428571
Isner J.,8/14/15 17:35,3,0.295454545
Isner J.,8/18/15 17:30,1,0.298507463
Isner J.,9/1/15 17:35,4,0.391304348
Isner J.,9/3/15 20:30,1,0.418604651
Isner J.,9/5/15 18:15,10,0.362068966
Isner J.,9/8/15 2:00,5,0.315789474
